"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.799239875E0,-3.439051099E-3,-1.223203144E-3,-3.382686991E-4
2.809286875E0,3.376989625E-4,1.342052477E-3,7.321720477E-4
2.819333875E0,-6.247673882E-4,3.827818437E-4,-1.190097653E-3
2.829381875E0,6.655324250E-4,-9.477927815E-4,2.793378662E-4
2.839428875E0,1.787788467E-3,-7.395335706E-4,1.374695916E-3
2.849475875E0,1.519344980E-3,1.448275289E-4,2.258871682E-4
2.859523875E0,2.822962590E-3,7.871818962E-4,1.310060266E-3
2.869570875E0,1.282435842E-3,-5.609254004E-4,-6.036984269E-4
2.879617875E0,-9.687341517E-4,-2.786302939E-4,3.354823915E-3
2.889664875E0,-1.548916334E-4,7.128693396E-4,9.746528231E-4
2.899712875E0,-4.574267659E-4,1.759759616E-4,-5.039782263E-5
2.909759875E0,-3.467893694E-4,-5.364685785E-5,2.055249177E-3
2.919806875E0,8.676121943E-4,8.856586646E-5,2.541532740E-4
2.929853875E0,-2.032424789E-3,3.156391904E-4,2.784282202E-3
2.939901875E0,1.793206204E-3,-2.449562307E-4,-2.475993708E-3
2.949948875E0,6.253824104E-4,1.261801226E-3,1.464148285E-3
2.959995875E0,-1.266943291E-4,1.343027689E-3,-1.306870603E-3
2.970043875E0,-6.982982159E-4,-5.427193828E-4,-1.301225740E-3
2.980090875E0,-5.931033520E-4,1.721500070E-3,7.326302584E-4
2.990137875E0,-5.290452391E-4,-1.091771410E-3,-1.384479227E-3
3.000184875E0,3.524611238E-4,-1.456091879E-3,1.176948892E-3
3.010232875E0,1.213297714E-3,-6.316482322E-4,-1.092368737E-3
3.020279875E0,-8.360046195E-4,-4.401669139E-4,9.601293132E-4
3.030326875E0,6.797963288E-4,6.440521684E-4,-1.298737363E-3
3.040374875E0,-1.256588148E-3,-4.566322896E-4,-2.209272236E-3
3.050421875E0,-6.083298940E-4,-1.110906480E-3,1.280179014E-3
3.060468875E0,9.016825352E-4,1.501388266E-3,-3.528713714E-4
3.070515875E0,1.189173199E-3,-2.488408936E-3,-8.605851326E-4
3.080563875E0,-1.941372640E-3,3.471745411E-3,-9.410125203E-4
3.090610875E0,1.231739763E-3,1.019452582E-3,2.617386403E-3
3.100657875E0,-1.240472659E-3,6.106572691E-4,5.081628915E-4
3.110704875E0,8.017537184E-4,-3.919444513E-3,1.031768043E-4
3.120752875E0,1.676602056E-3,2.247003140E-4,8.062510751E-4
3.130799875E0,6.328106392E-4,-2.254963620E-4,1.078579342E-3
3.140846875E0,1.230956521E-3,-3.483607434E-3,-2.820298541E-4
