"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.842506790E-1,6.348018348E-2,1.106711030E0,9.674139977E0
4.867639090E-1,6.288131326E-2,1.116292953E0,9.731032372E0
4.892771380E-1,5.809035525E-2,1.106711030E0,9.721450806E0
4.917903670E-1,3.413556889E-2,1.130665898E0,9.716060638E0
4.943035960E-1,1.976269856E-2,1.140247822E0,9.711270332E0
4.968168250E-1,4.790957272E-2,1.097728014E0,9.706479073E0
4.993300540E-1,4.790957272E-2,1.097728014E0,9.716060638E0
5.018432840E-1,9.102818370E-2,1.092937112E0,9.706479073E0
5.043564610E-1,3.832765669E-2,1.140846610E0,9.692106247E0
5.068696900E-1,4.731070250E-2,1.145637631E0,9.748998642E0
5.093829190E-1,9.522027522E-2,1.116891861E0,9.720252991E0
5.118961480E-1,7.126548886E-2,1.098326921E0,9.710671425E0
5.144093770E-1,8.503948897E-2,1.103117824E0,9.719654083E0
5.169226070E-1,1.137852296E-1,1.112699747E0,9.724445343E0
5.194358360E-1,1.089942753E-1,1.074372172E0,9.776546478E0
5.219490650E-1,9.402253479E-2,1.050417304E0,9.823857307E0
5.244622940E-1,1.796608977E-2,1.098326921E0,9.843021393E0
5.269755230E-1,6.048583239E-2,1.089343905E0,9.833439827E0
5.294887520E-1,5.569487438E-2,1.051016212E0,9.833439827E0
5.320019820E-1,7.425983250E-2,1.051016212E0,9.814275742E0
5.345152110E-1,9.821461886E-2,1.051016212E0,9.856795311E0
5.370283880E-1,1.125874892E-1,1.018078327E0,9.813676834E0
5.395416690E-1,3.593217954E-2,1.042033195E0,9.808885574E0
5.420548980E-1,7.845192403E-2,1.056406021E0,9.765767097E0
5.445681270E-1,6.887000799E-2,1.037242174E0,9.760975838E0
5.470813570E-1,9.282479435E-2,1.061197042E0,9.798705101E0
5.495945860E-1,5.449713767E-2,1.113897562E0,9.689710617E0
5.521078150E-1,9.222592413E-2,1.099524617E0,9.675337791E0
5.546210440E-1,5.389826745E-2,1.047423005E0,9.750795364E0
5.571342730E-1,7.785305381E-2,1.061795831E0,9.679530144E0
5.596475020E-1,6.348018348E-2,1.037841082E0,9.703484535E0
5.621607840E-1,6.288131326E-2,1.061795831E0,9.689111710E0
5.646740130E-1,1.245648861E-1,1.095332623E0,9.665157318E0
5.671872420E-1,8.204513788E-2,1.104914427E0,9.688512802E0
5.697004710E-1,6.228244305E-2,1.119287372E0,9.645993233E0
5.722137000E-1,7.665531337E-2,1.081558585E0,9.640603065E0
5.747269290E-1,6.707339734E-2,1.105513334E0,9.664558411E0
5.772401590E-1,1.095931455E-1,1.081558585E0,9.754388809E0
5.797533880E-1,1.000112295E-1,1.095931411E0,9.726242065E0
5.822666170E-1,4.731070250E-2,1.058202624E0,9.754388809E0
5.847798460E-1,2.814687230E-2,1.086948395E0,9.801699638E0
5.872931270E-1,2.335591614E-2,1.101321220E0,9.777744293E0
5.898063570E-1,8.983044885E-3,1.091739297E0,9.820263863E0
5.923195860E-1,2.754800394E-2,1.067784548E0,9.820263863E0
5.948328150E-1,-5.988696590E-3,1.101321220E0,9.768162727E0
5.973460440E-1,-2.036156692E-2,1.054010510E0,9.801100731E0
5.998592730E-1,1.796608977E-2,1.063592434E0,9.819664955E0
6.023725020E-1,3.174009174E-2,1.121083975E0,9.777145386E0
6.048857320E-1,-2.575139515E-2,1.082756281E0,9.734026909E0
6.073989610E-1,7.785305381E-3,1.063592434E0,9.753190994E0
6.099121900E-1,5.030504987E-2,1.101920128E0,9.748399734E0
6.124254710E-1,1.676834933E-2,1.064191341E0,9.738219261E0
6.149387000E-1,6.467792392E-2,1.116891861E0,9.719055176E0
6.174519290E-1,6.887000799E-2,1.088146091E0,9.690908432E0
6.199651590E-1,4.491522163E-2,1.025863647E0,9.733428001E0
6.224783880E-1,9.222592413E-2,1.045027494E0,9.766366005E0
6.249916170E-1,4.491522163E-2,1.116891861E0,9.666355133E0
6.275048460E-1,1.137852296E-2,1.121682882E0,9.723247528E0
6.300180750E-1,2.994348109E-2,1.107908845E0,9.713665962E0
6.325313040E-1,4.431635141E-2,1.107908845E0,9.708874702E0
6.350445340E-1,3.473443910E-2,1.083954096E0,9.718456268E0
6.375578150E-1,5.988696590E-3,1.117490768E0,9.756185532E0
6.400710440E-1,6.288131326E-2,1.127072692E0,9.670546532E0
6.425842730E-1,1.497174054E-2,1.118089557E0,9.713067055E0
6.450975020E-1,1.018078346E-2,1.070180058E0,9.703484535E0
6.476107320E-1,3.832765669E-2,1.065389037E0,9.650784492E0
6.501239610E-1,3.353669867E-2,1.084552884E0,9.617846489E0
6.526371900E-1,0.000000000E0,1.046824098E0,9.617247581E0
6.551504190E-1,4.731070250E-2,1.080360770E0,9.622038841E0
6.576636480E-1,5.689261481E-2,1.118688464E0,9.626829147E0
6.601769290E-1,2.335591614E-2,1.089942694E0,9.602874756E0
6.626901590E-1,3.293782845E-2,1.094733715E0,9.578919411E0
6.652033880E-1,5.150279030E-2,1.089942694E0,9.650185585E0
6.677166170E-1,5.150279030E-2,1.109106541E0,9.626230240E0
6.702298460E-1,1.317513175E-2,1.057004929E0,9.597484589E0
6.727430750E-1,7.485870272E-2,1.042631984E0,9.635213852E0
6.752563040E-1,3.174009174E-2,1.080959678E0,9.644795418E0
6.777695340E-1,-1.796608907E-3,1.109705448E0,9.630422592E0
6.802827630E-1,-3.533330932E-2,1.076168776E0,9.649586678E0
6.827959920E-1,4.072313383E-2,1.071377754E0,9.672942162E0
6.853092730E-1,2.395478543E-3,1.043230891E0,9.696298599E0
6.878225020E-1,-2.635026351E-2,1.091140509E0,9.634614944E0
6.903357320E-1,-2.395478543E-3,1.163004875E0,9.625032425E0
6.928489610E-1,-7.186435629E-3,1.100722432E0,9.691507339E0
6.953621900E-1,-4.072313383E-2,1.086349487E0,9.719654083E0
6.978754190E-1,-4.611296207E-2,1.134259105E0,9.681925774E0
7.003886480E-1,-1.257626247E-2,1.091739297E0,9.738818169E0
7.029018770E-1,-3.174009174E-2,1.106112242E0,9.695699692E0
7.054151070E-1,-2.275704592E-2,1.163603663E0,9.662162781E0
7.079283360E-1,-6.108470261E-2,1.125276089E0,9.647789955E0
7.104416170E-1,-6.108470261E-2,1.115694165E0,9.652581215E0
7.129548460E-1,-4.192087427E-2,1.125276089E0,9.633417130E0
7.154680750E-1,-2.335591614E-2,1.134858012E0,9.585507393E0
7.179813040E-1,-5.210165679E-2,1.116292953E0,9.533405304E0
7.204945340E-1,-4.731070250E-2,1.121083975E0,9.542388916E0
7.230077630E-1,-1.437287126E-2,1.082756281E0,9.495078087E0
7.255209920E-1,-1.437287126E-2,1.121083975E0,9.523224831E0
7.280342210E-1,1.916382834E-2,1.125874877E0,9.508852005E0
7.305474500E-1,4.731070250E-2,1.088146091E0,9.480106354E0
7.330606790E-1,8.983044885E-3,1.078564167E0,9.494479179E0
7.355739610E-1,3.293782845E-2,1.054609418E0,9.527417183E0
7.380871900E-1,3.233896196E-2,1.059400439E0,9.513044357E0
7.406004190E-1,2.275704592E-2,1.045626402E0,9.503461838E0
7.431136480E-1,4.192087427E-2,1.079163074E0,9.555563927E0
7.456268770E-1,2.275704592E-2,1.031253457E0,9.589100838E0
7.481401070E-1,6.048583239E-2,1.007298708E0,9.569936752E0
7.506533360E-1,3.653104603E-2,1.040835381E0,9.578919411E0
7.531665650E-1,3.174009174E-2,1.055208325E0,9.640603065E0
7.556797940E-1,2.994348295E-3,9.647789598E-1,9.731032372E0
7.581930750E-1,3.114122152E-2,1.012688518E0,9.716659546E0
7.607063040E-1,8.384174854E-2,1.017479539E0,9.640603065E0
