"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.445681270E-1,3.462106455E-3,-2.037316561E-2,-8.388950489E-3
5.470813570E-1,5.592633504E-3,-1.930790208E-2,-7.323686965E-3
5.495945860E-1,4.527369980E-3,-2.250369266E-2,-9.454214014E-3
5.521078150E-1,4.527369980E-3,-2.250369266E-2,-1.051947754E-2
5.546210440E-1,4.527369980E-3,-2.143842913E-2,-9.454214014E-3
5.571342730E-1,4.527369980E-3,-1.717737503E-2,-8.388950489E-3
5.596475020E-1,3.462106455E-3,-1.717737503E-2,-9.454214014E-3
5.621607840E-1,2.396842930E-3,-1.611211151E-2,-1.158474106E-2
5.646740130E-1,1.331579406E-3,-1.078579295E-2,-1.158474106E-2
5.671872420E-1,-2.929474693E-3,-4.394211806E-3,-7.323686965E-3
5.697004710E-1,-7.190528791E-3,-2.263684990E-3,-6.258423440E-3
5.722137000E-1,-3.994738217E-3,9.321055841E-4,-8.388950489E-3
5.747269290E-1,-1.864211168E-3,5.193159916E-3,-8.388950489E-3
5.772401590E-1,-5.060001742E-3,5.193159916E-3,-1.051947754E-2
5.797533880E-1,-8.255792782E-3,5.193159916E-3,-9.454214014E-3
5.822666170E-1,-9.321056306E-3,9.454214014E-3,-9.454214014E-3
5.847798460E-1,-8.255792782E-3,5.193159916E-3,-9.454214014E-3
5.872931270E-1,-9.321056306E-3,4.127896391E-3,-9.454214014E-3
5.898063570E-1,-1.038631983E-2,1.997369109E-3,-8.388950489E-3
5.923195860E-1,-8.255792782E-3,-4.394211806E-3,-9.454214014E-3
5.948328150E-1,-1.145158336E-2,-8.655265905E-3,-7.323686965E-3
5.973460440E-1,-1.145158336E-2,-1.398158353E-2,-7.323686965E-3
5.998592730E-1,-8.255792782E-3,-1.398158353E-2,-4.127896391E-3
6.023725020E-1,-5.060001742E-3,-1.398158353E-2,-3.062632633E-3
6.048857320E-1,2.663158812E-4,-1.504684705E-2,-9.321055841E-4
6.073989610E-1,2.663158812E-4,-1.611211151E-2,1.331579406E-4
