"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.147913850E-1,5.313001946E-2,1.850895397E-2,4.900212213E-2
5.173044060E-1,5.206475407E-2,2.383527160E-2,4.367580265E-2
5.198174270E-1,5.099949241E-2,2.490053512E-2,4.687159508E-2
5.223305000E-1,4.886896536E-2,3.022685274E-2,4.474106804E-2
5.248435210E-1,4.460791126E-2,3.235737979E-2,4.261054099E-2
5.273565420E-1,4.354264587E-2,3.874896094E-2,3.941474855E-2
5.298695630E-1,4.034685716E-2,4.087948799E-2,3.834948689E-2
5.323826350E-1,4.247738421E-2,4.301001504E-2,3.728422523E-2
5.348956560E-1,4.247738421E-2,4.301001504E-2,3.621895984E-2
5.374086770E-1,4.247738421E-2,4.194474965E-2,3.728422523E-2
5.399216980E-1,4.247738421E-2,4.514054209E-2,3.089264221E-2
5.424347710E-1,4.247738421E-2,4.087948799E-2,2.982737869E-2
5.449477920E-1,4.567317292E-2,4.194474965E-2,2.663158812E-2
5.474608130E-1,4.567317292E-2,3.981422260E-2,2.450106107E-2
5.499738850E-1,4.567317292E-2,3.768369555E-2,2.343579754E-2
5.524869060E-1,4.780369997E-2,3.981422260E-2,2.237053402E-2
5.549999270E-1,4.460791126E-2,4.194474965E-2,2.450106107E-2
5.575129480E-1,4.673843831E-2,4.087948799E-2,2.130527049E-2
5.600260210E-1,4.780369997E-2,4.087948799E-2,2.237053402E-2
5.625390420E-1,4.567317292E-2,4.301001504E-2,2.343579754E-2
5.650520630E-1,4.673843831E-2,4.727106914E-2,2.130527049E-2
5.675650830E-1,4.993422702E-2,4.620580375E-2,2.237053402E-2
5.700781560E-1,4.886896536E-2,5.153212324E-2,2.343579754E-2
5.725911770E-1,4.673843831E-2,5.153212324E-2,2.237053402E-2
5.751041980E-1,4.354264587E-2,5.259738490E-2,2.343579754E-2
5.776172710E-1,4.673843831E-2,5.259738490E-2,2.343579754E-2
5.801302920E-1,5.206475407E-2,5.259738490E-2,2.130527049E-2
5.826433130E-1,5.099949241E-2,5.153212324E-2,1.810947992E-2
5.851563330E-1,4.673843831E-2,4.940159619E-2,2.130527049E-2
5.876694060E-1,4.993422702E-2,5.153212324E-2,2.130527049E-2
5.901824270E-1,5.099949241E-2,4.940159619E-2,1.597895287E-2
5.926954480E-1,4.886896536E-2,5.046685785E-2,1.597895287E-2
5.952084690E-1,5.206475407E-2,5.259738490E-2,1.810947992E-2
5.977215420E-1,5.419528112E-2,5.685843900E-2,2.130527049E-2
6.002345630E-1,5.632580817E-2,5.792370439E-2,1.810947992E-2
6.027475830E-1,5.632580817E-2,5.792370439E-2,1.810947992E-2
6.052606560E-1,5.632580817E-2,5.685843900E-2,2.024000697E-2
6.077736770E-1,5.952160060E-2,5.685843900E-2,2.130527049E-2
6.102866980E-1,6.378265470E-2,5.579317734E-2,2.024000697E-2
6.127997190E-1,6.378265470E-2,5.366265029E-2,1.810947992E-2
6.153127920E-1,6.484791636E-2,5.153212324E-2,1.597895287E-2
6.178258130E-1,6.804370880E-2,4.620580375E-2,1.384842582E-2
6.203388330E-1,7.443528622E-2,3.981422260E-2,1.384842582E-2
6.228518540E-1,7.443528622E-2,3.768369555E-2,1.278316230E-2
6.253649270E-1,7.763107866E-2,3.342264146E-2,1.171789877E-2
6.278779480E-1,8.082687110E-2,2.916158922E-2,1.171789877E-2
6.303909690E-1,8.295739442E-2,2.490053512E-2,1.278316230E-2
6.329040420E-1,8.295739442E-2,2.063948102E-2,1.278316230E-2
6.354170630E-1,9.147950262E-2,1.637842692E-2,1.171789877E-2
6.379300830E-1,9.467529505E-2,1.318263635E-2,1.491368935E-2
6.404431040E-1,9.574055672E-2,1.318263635E-2,1.171789877E-2
6.429561770E-1,9.893634915E-2,1.105210930E-2,1.278316230E-2
6.454691980E-1,1.031974033E-1,9.986845776E-3,1.704421639E-2
6.479822190E-1,1.053279340E-1,9.986845776E-3,1.704421639E-2
6.504952400E-1,1.042626649E-1,9.986845776E-3,1.491368935E-2
6.530083130E-1,1.042626649E-1,1.105210930E-2,1.597895287E-2
6.555213330E-1,1.021321416E-1,7.856318727E-3,1.810947992E-2
6.580343540E-1,1.010668799E-1,7.856318727E-3,1.597895287E-2
6.605474270E-1,9.893634915E-2,4.660528153E-3,1.384842582E-2
6.630604480E-1,9.467529505E-2,3.595264396E-3,1.491368935E-2
6.655734690E-1,9.041424096E-2,3.595264396E-3,1.491368935E-2
6.680864900E-1,8.615318686E-2,2.530000871E-3,1.491368935E-2
6.705995630E-1,8.189213276E-2,3.595264396E-3,1.384842582E-2
6.731125830E-1,7.869634032E-2,3.595264396E-3,1.278316230E-2
6.756256040E-1,7.443528622E-2,1.464737346E-3,1.384842582E-2
